"","a1","a2","b","gamma11","gamma21","gamma31","gamma12","gamma22","gamma32","beta1","beta2","beta3"
"Item1",2.33220953138569,0,0.183703916957973,0,0,0,0,0,0,0,0,0
"Item2",0,2.27077362903241,-1.03978893191539,0,0,0,1.2293695831999,0,0,-0.684970079527133,0,0
"Item3",2.02973356891226,0,0.778723845282881,0,0,0,0,0,0,0,0,0
"Item4",2.6707209687284,0,-2.36270865704848,-1.19511250349467,-1.5558640814321,-1.1973595000922,0,0,0,1.20702412786972,1.39114946530265,1.57783536395412
"Item5",1.60116567364785,0,0.171995510507107,0,0,0,0,0,0,0.866553413161813,1.13513433412459,1.2979822591147
"Item6",2.22525265051621,0,-3.13160323540626,0,0,0,0,0,0,0,0,0
"Item7",1.93634326471067,0,-0.316325782057553,0,0,0,0,0,0,0,0,0
"Item8",2.11025325766772,0,-0.407578003411368,0,0,0,0,0,0,0,0,0
"Item9",1.79592368760992,0,0.97877697242002,0,0,0,0,0,0,0,0,0
"Item10",1.84929277250663,0,1.2782199316337,0,0,0,0,0,0,0,0,0
"Item11",1.66995897722119,0,0.786969951821077,0,0,0,0,0,0,0,0,0
"Item12",0,1.76590586217023,0.889443295535194,0,0,0,0,0,0,0.905553348544931,1.2180126530295,1.64255278051263
"Item13",0,2.21974152660742,-0.44406588599685,0,0,0,-1.02992590478671,-1.43153105259983,-1.62390893990096,0.676509472660915,1.02662764287095,1.23870926821992
"Item14",0,2.16790533532051,-0.962714250611739,0,0,0,0,0,0,0,0,0
"Item15",0,1.94245593502264,-0.169841282383621,0,0,0,0,0,0,0,0,0
"Item16",0,1.88145097864472,0.221483524276963,0,0,0,0,0,0,0,0,0
"Item17",0,1.90079223759809,1.77023205199102,0,0,0,0,0,0,0,0,0
"Item18",0,2.05026846968028,0.00882547708689506,0,0,0,0,0,0,0,0,0
"Item19",0,2.38385465752095,-1.75371921350622,0,0,0,0,0,0,0,0,0
"Item20",0,2.27970347213006,-0.609141166502229,0,0,0,0,0,0,0,0,0
