"","a1","a2","b","gamma11","gamma21","gamma31","gamma12","gamma22","gamma32","beta1","beta2","beta3"
"Item1",2.3321805560051,0,0.181857948708859,0,0,0,0,0,0,0,0,0
"Item2",0,2.46904098928991,-1.16746995687165,0,0,0,0,0,0,0,0,0
"Item3",2.02975849832855,0,0.777136534093079,0,0,0,0,0,0,0,0,0
"Item4",2.67089656121177,0,-2.3645787195078,-1.19563929074208,-1.55598494750776,-1.1975070013329,0,0,0,1.20776164238799,1.39209331447147,1.57846669805868
"Item5",1.60086882669795,0,0.170917842058591,0,0,0,0,0,0,0.866219528895813,1.13478245640617,1.29760894488118
"Item6",2.22604048248992,0,-3.13401269239709,0,0,0,0,0,0,0,0,0
"Item7",1.93610023113978,0,-0.317839718265322,0,0,0,0,0,0,0,0,0
"Item8",2.1104668674474,0,-0.409271397588993,0,0,0,0,0,0,0,0,0
"Item9",1.79589137357104,0,0.977361841045172,0,0,0,0,0,0,0,0,0
"Item10",1.84898488044208,0,1.27665452167903,0,0,0,0,0,0,0,0,0
"Item11",1.67001711962404,0,0.785677146148249,0,0,0,0,0,0,0,0,0
"Item12",0,1.75452647411349,0.885924089637009,0,0,0,0,0,0,0.952920998934264,1.17275152038977,1.63790027145554
"Item13",0,2.21724232382114,-0.444896152586669,0,0,0,-1.05799376306375,-1.4247583475995,-1.62154357389143,0.696112037278829,1.01001046597212,1.23960084082092
"Item14",0,2.15874207780722,-0.967035671554029,0,0,0,0,0,0,0,0,0
"Item15",0,1.93937870187695,-0.0796457839947042,0,0,0,0,0,0,0,-0.368840666118328,0
"Item16",0,1.87086249421348,0.218341112920422,0,0,0,0,0,0,0,0,0
"Item17",0,1.89467619872,1.76904694728177,0,0,0,0,0,0,0,0,0
"Item18",0,2.04247909305599,0.00553343395182131,0,0,0,0,0,0,0,0,0
"Item19",0,2.36615813031795,-1.75566119930367,0,0,0,0,0,0,0,0,0
"Item20",0,2.26419368995932,-0.612285182442662,0,0,0,0,0,0,0,0,0
