"","a1","a2","b","gamma11","gamma12","beta1"
"Item1",1.84977007910455,0,0.0465415217224824,0,0,0
"Item2",0,2.35464425239299,-1.24392273712298,0,0,0
"Item3",1.91329184588,0,0.661961159637357,0,0,0
"Item4",2.42900457932535,0,-2.04479987150333,0,0,0.753725569599725
"Item5",2.0608738789926,0,0.0966809859728985,0,0,0.994047482187515
"Item6",2.30532706269345,0,-3.24776841170212,0,0,0
"Item7",1.5980255797195,0,-0.240170347853081,0,0,0
"Item8",1.92345852316258,0,-0.532911538258849,0,0,0
"Item9",1.8372908839068,0,1.170694177954,0,0,-0.527412714581786
"Item10",1.80144028882223,0,1.27160270419098,0,0,0
"Item11",1.83596566957606,0,0.863877899252956,0,0,0
"Item12",0,2.16780977053127,0.651542021212242,0,0,0.709506953861568
"Item13",0,1.61677030007688,-0.522304335982958,0,0,0.834130657876547
"Item14",0,2.19765750672553,-0.939675779046674,0,0,0
"Item15",0,2.3209997460317,-0.293633729147809,0,0,0
"Item16",0,1.55563813160503,0.0653261695179666,0,0,0
"Item17",0,1.95005757578354,1.46174125708524,0,0,0
"Item18",0,2.17981666864223,-0.121381773273365,0,0,0
"Item19",0,2.64506443368115,-2.2537534106169,0,0,0
"Item20",0,2.0551116962426,-0.792720396465254,0,0,0
