"","a1","a2","b","gamma11","gamma12","beta1"
"Item1",1.82320819329934,0,0.0600816965302346,0,0,0
"Item2",0,2.40893283011917,-1.2609163420549,0,0,0
"Item3",1.8828873449591,0,0.676759584274526,0,0,0
"Item4",2.29858994037501,0,-1.61869349116287,0,0,0
"Item5",2.02735469422796,0,0.11989828837486,0,0,0.996567838074374
"Item6",2.20849494014308,0,-3.19031424471912,0,0,0
"Item7",1.55880939146177,0,-0.228234527461578,0,0,0
"Item8",1.8772263440911,0,-0.517236158308363,0,0,0
"Item9",1.78935227302909,0,0.907476766657803,0,0,0
"Item10",1.76721615094285,0,1.28454313259561,0,0,0
"Item11",1.80797753577383,0,0.878828635847993,0,0,0
"Item12",0,2.12805054675525,0.958136498874015,0,0,0
"Item13",0,1.64332743402952,-0.50575618153968,0,0,0.770319342290893
"Item14",0,2.24797470934239,-0.955713659185551,0,0,0
"Item15",0,2.40735148679474,-0.314027336020463,0,0,0
"Item16",0,1.59285343829801,0.0533236496392786,0,0,0
"Item17",0,1.99175857013972,1.44535778459321,0,0,0
"Item18",0,2.21753432527286,-0.137316806307128,0,0,0
"Item19",0,2.69414648939344,-2.26618347260332,0,0,0
"Item20",0,2.10494339710299,-0.808656569185537,0,0,0
